"61-8550_2012","1","2012-01-02 15:40:45","62-5628","571-2450"
"7-2132_2012","1","2012-01-02 21:45:08","163-3147","614-4808"
"53-4270_2012","1","2012-01-06 08:12:48","38-8134","930-8456"
"68-656_2012","2","2012-01-11 04:31:57","18-6516","919-3118"
"37-1221_2012","2","2012-01-19 20:16:19","126-2036","166-583"
"14-2011_2012","3","2012-01-23 03:09:52","190-745","123-2155"
"47-4823_2012","3","2012-01-24 01:56:40","96-3395","390-976"
"97-9760_2012","2","2012-01-25 22:16:16","56-16","237-5606"
"19-6640_2012","3","2012-01-26 09:48:47","176-6783","968-5287"
"33-184_2012","3","2012-01-31 20:05:37","85-9405","502-8639"
"98-9693_2012","3","2012-02-06 07:57:21","39-5109","373-7727"
"91-5073_2012","1","2012-02-07 12:39:13","121-1588","230-1964"
"45-6479_2012","3","2012-02-11 15:04:23","118-7400","183-4359"
"20-66_2012","1","2012-02-13 00:44:05","49-4356","892-2296"
"64-1993_2012","2","2012-02-16 05:43:57","194-4816","577-585"
"13-6028_2012","1","2012-02-16 21:33:52","62-5628","770-9895"
"73-469_2012","1","2012-02-22 09:27:28","20-1909","94-2100"
"83-5507_2012","3","2012-03-03 01:21:17","102-6339","754-629"
"23-2536_2012","2","2012-03-10 00:53:16","115-5065","166-583"
"90-5162_2012","3","2012-03-11 12:34:59","88-4984","557-5440"
"57-8136_2012","3","2012-03-15 10:37:50","25-2608","361-4000"
"69-4070_2012","1","2012-03-20 16:06:52","115-5065","449-881"
"43-4876_2012","1","2012-03-21 23:57:14","12-1951","13-6703"
"59-2073_2012","3","2012-03-22 14:56:59","92-9381","772-1627"
"80-7449_2012","3","2012-03-23 20:00:49","52-3542","660-8566"
"40-2253_2012","2","2012-03-24 06:53:58","105-8197","93-9504"
"5-9074_2012","1","2012-03-29 23:52:05","115-5065","311-712"
"9-5958_2012","3","2012-04-06 22:13:00","132-997","13-6703"
"51-9766_2012","2","2012-04-11 10:42:36","2-2419","542-5397"
"66-6422_2012","3","2012-04-20 00:41:09","31-502","734-5140"
"28-9200_2012","3","2012-04-26 01:34:22","134-5737","586-547"
"26-5879_2012","1","2012-05-07 08:42:32","8-2603","260-4998"
"35-5311_2012","2","2012-05-08 07:47:39","15-5796","349-5961"
"29-1196_2012","2","2012-05-14 02:48:59","75-8601","891-6410"
"67-7944_2012","3","2012-05-14 15:47:01","127-6880","333-2939"
"22-5171_2012","2","2012-05-17 14:39:27","131-1814","462-8809"
"44-9050_2012","2","2012-05-21 19:52:12","37-7446","850-7020"
"60-2465_2012","2","2012-05-23 07:18:15","77-3641","429-288"
"94-6913_2012","2","2012-05-26 03:36:12","21-1022","499-5303"
"18-6232_2012","2","2012-06-05 03:12:02","156-5710","571-2450"
"48-3956_2012","3","2012-06-05 07:08:41","88-4984","989-5510"
"72-2270_2012","2","2012-06-07 11:42:48","198-5509","216-9636"
"63-1997_2012","2","2012-06-14 13:20:56","28-6661","297-8844"
"96-8564_2012","2","2012-06-18 03:52:30","24-124","714-1"
"84-6374_2012","2","2012-06-23 15:31:53","12-1951","866-7571"
"58-1634_2012","2","2012-06-24 14:47:07","198-5509","736-2501"
"50-4373_2012","1","2012-06-25 15:07:48","67-9959","352-9692"
"85-7529_2012","3","2012-06-26 21:53:19","28-5343","296-8800"
"39-426_2012","2","2012-06-28 09:16:34","79-7647","770-9895"
"71-7563_2012","1","2012-06-29 02:55:08","51-4253","17-8333"
"93-5778_2012","2","2012-06-29 22:06:20","0-7513","984-9671"
"88-8672_2012","1","2012-07-08 06:41:57","130-525","760-2207"
"55-3555_2012","2","2012-07-09 02:26:18","44-3183","787-2547"
"79-9747_2012","2","2012-07-14 18:56:18","24-124","55-8294"
"38-1722_2012","3","2012-07-19 02:22:14","173-26","278-2856"
"76-3834_2012","1","2012-07-25 01:56:18","135-4310","93-9504"
"8-5054_2012","3","2012-07-27 15:45:18","92-9381","961-9170"
"32-9706_2012","3","2012-07-28 11:58:23","73-5176","138-5044"
"3-2001_2012","2","2012-07-30 22:34:29","76-8987","992-2350"
"54-8765_2012","2","2012-07-31 11:41:44","141-5349","674-3184"
"6-587_2012","3","2012-08-03 18:22:00","47-2938","458-5580"
"86-5709_2012","3","2012-08-07 19:06:01","45-8761","378-697"
"27-1062_2012","1","2012-08-11 12:30:46","45-8761","113-9361"
"34-9738_2012","1","2012-08-13 04:10:19","161-4721","694-4482"
"16-9288_2012","1","2012-08-19 21:29:57","110-6219","306-3131"
"77-1223_2012","3","2012-08-20 03:37:44","16-4292","214-9857"
"81-4651_2012","2","2012-08-21 03:32:45","77-3641","568-9480"
"42-2899_2012","1","2012-08-24 19:15:23","46-5231","427-3309"
"62-5674_2012","2","2012-08-30 13:23:50","38-8134","719-1223"
"12-3129_2012","3","2012-09-10 04:10:59","56-16","123-2155"
"10-9287_2012","3","2012-09-18 07:27:43","26-552","601-2392"
"56-285_2012","3","2012-09-27 04:19:25","138-2155","24-8540"
"1-6284_2012","3","2012-09-29 09:15:56","55-6587","523-7236"
"31-8075_2012","2","2012-09-29 14:28:33","0-5800","673-1478"
"30-5538_2012","1","2012-10-01 23:33:34","99-1114","318-4789"
"0-3229_2012","1","2012-10-07 12:29:36","58-9193","294-1140"
"49-8753_2012","3","2012-10-08 08:05:45","79-7647","208-7143"
"4-3057_2012","1","2012-10-08 15:40:52","120-1172","811-5927"
"74-4385_2012","1","2012-10-09 03:12:43","42-1594","766-5649"
"11-3986_2012","1","2012-10-09 06:01:43","10-2032","701-8260"
"87-3813_2012","3","2012-10-09 19:15:35","12-1951","494-6091"
"2-5341_2012","2","2012-10-11 18:30:31","176-6783","106-1766"
"99-9842_2012","2","2012-10-16 12:09:27","110-6219","298-3721"
